# ik  ibnd  E(eV)  inv_tau_SERTA(Ry)  inv_tau_MRTA(Ry)  tau_SERTA(fs)  tau_MRTA(fs)
   22611   2   -4.102166    5.485141E-03    5.000374E-03    8.820192E+00    9.675277E+00
   22612   2   -4.104031    6.157104E-03    5.629904E-03    7.857590E+00    8.593397E+00
   22613   2   -4.104951    6.477117E-03    5.932843E-03    7.469372E+00    8.154606E+00
   22614   2   -4.104919    6.475326E-03    5.934151E-03    7.471438E+00    8.152810E+00
   22615   2   -4.103935    6.148263E-03    5.630947E-03    7.868889E+00    8.591805E+00
   22616   2   -4.102011    5.460816E-03    4.993906E-03    8.859482E+00    9.687808E+00
   22908   2   -4.104969    6.494728E-03    5.841278E-03    7.449119E+00    8.282434E+00
   22909   2   -4.109208    7.720242E-03    6.987512E-03    6.266643E+00    6.923781E+00
   22910   2   -4.112538    8.397614E-03    7.640517E-03    5.761160E+00    6.332032E+00
   22911   2   -4.114929    8.733856E-03    7.977686E-03    5.539363E+00    6.064415E+00
   22912   2   -4.116361    8.887056E-03    8.137417E-03    5.443873E+00    5.945376E+00
   22913   2   -4.116820    8.938228E-03    8.191348E-03    5.412706E+00    5.906232E+00
   22914   2   -4.116304    8.909151E-03    8.159056E-03    5.430371E+00    5.929607E+00
   22915   2   -4.114818    8.771556E-03    8.016069E-03    5.515555E+00    6.035377E+00
   22916   2   -4.112378    8.436847E-03    7.685126E-03    5.734369E+00    6.295277E+00
   22917   2   -4.109007    7.739345E-03    7.022126E-03    6.251175E+00    6.889651E+00
   22918   2   -4.104735    6.471893E-03    5.848726E-03    7.475401E+00    8.271888E+00
   23205   2   -4.101584    5.330415E-03    4.703718E-03    9.076217E+00    1.028548E+01
   23206   2   -4.108054    7.465445E-03    6.646638E-03    6.480524E+00    7.278867E+00
   23207   2   -4.113706    8.605375E-03    7.726714E-03    5.622068E+00    6.261394E+00
   23208   2   -4.118489    9.044468E-03    8.183507E-03    5.349126E+00    5.911891E+00
   23209   2   -4.122364    9.169470E-03    8.350491E-03    5.276204E+00    5.793671E+00
   23210   2   -4.125294    9.190278E-03    8.411366E-03    5.264258E+00    5.751741E+00
   23211   2   -4.127254    9.188699E-03    8.438279E-03    5.265163E+00    5.733396E+00
   23212   2   -4.128226    9.191654E-03    8.455042E-03    5.263470E+00    5.722029E+00
   23213   2   -4.128201    9.206181E-03    8.467881E-03    5.255165E+00    5.713354E+00
   23214   2   -4.127181    9.230851E-03    8.475573E-03    5.241120E+00    5.708169E+00
   23215   2   -4.125176    9.255530E-03    8.469332E-03    5.227145E+00    5.712375E+00
   23216   2   -4.122206    9.249175E-03    8.422268E-03    5.230737E+00    5.744296E+00
   23217   2   -4.118301    9.123190E-03    8.257754E-03    5.302970E+00    5.858736E+00
   23218   2   -4.113495    8.657339E-03    7.785765E-03    5.588322E+00    6.213904E+00
   23219   2   -4.107831    7.460061E-03    6.669887E-03    6.485202E+00    7.253496E+00
   23220   2   -4.101358    5.264101E-03    4.686072E-03    9.190553E+00    1.032421E+01
   23503   2   -4.100934    5.123110E-03    4.463637E-03    9.443483E+00    1.083869E+01
   23504   2   -4.108679    7.676874E-03    6.757374E-03    6.302044E+00    7.159586E+00
   23505   2   -4.115674    8.882065E-03    7.898735E-03    5.446931E+00    6.125031E+00
   23506   2   -4.121861    9.196923E-03    8.258943E-03    5.260455E+00    5.857893E+00
   23507   2   -4.127191    9.200959E-03    8.334778E-03    5.258148E+00    5.804594E+00
   23508   2   -4.131614    9.142215E-03    8.342276E-03    5.291934E+00    5.799377E+00
   23509   2   -4.135093    9.088241E-03    8.340851E-03    5.323363E+00    5.800367E+00
   23510   2   -4.137595    9.052880E-03    8.342718E-03    5.344156E+00    5.799069E+00
   23511   2   -4.139096    9.037825E-03    8.349297E-03    5.353058E+00    5.794500E+00
   23512   2   -4.139584    9.042338E-03    8.359833E-03    5.350386E+00    5.787197E+00
   23513   2   -4.139054    9.065287E-03    8.373247E-03    5.336842E+00    5.777926E+00
   23514   2   -4.137512    9.105526E-03    8.388497E-03    5.313257E+00    5.767421E+00
   23515   2   -4.134974    9.161589E-03    8.404320E-03    5.280743E+00    5.756563E+00
   23516   2   -4.131466    9.229610E-03    8.417425E-03    5.241825E+00    5.747601E+00
   23517   2   -4.127021    9.293012E-03    8.413654E-03    5.206063E+00    5.750177E+00
   23518   2   -4.121678    9.278827E-03    8.330710E-03    5.214021E+00    5.807428E+00
   23519   2   -4.115487    8.928138E-03    7.947883E-03    5.418823E+00    6.087156E+00
   23520   2   -4.108498    7.656554E-03    6.768016E-03    6.318770E+00    7.148329E+00
   23521   2   -4.100766    5.046130E-03    4.441128E-03    9.587546E+00    1.089363E+01
   23802   2   -4.106956    7.250922E-03    6.302476E-03    6.672255E+00    7.676348E+00
   23803   2   -4.115195    8.886744E-03    7.813452E-03    5.444063E+00    6.191885E+00
